filename, year, varnm, plev
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP50_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 50 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP30_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 30 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_DOMEGADP20_40E-120E_90S-90N_1981.nc, 1981, DOMEGADP, 20 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V1000_40E-120E_90S-90N_1981.nc, 1981, V, 1000 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V925_40E-120E_90S-90N_1981.nc, 1981, V, 925 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V850_40E-120E_90S-90N_1981.nc, 1981, V, 850 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V775_40E-120E_90S-90N_1981.nc, 1981, V, 775 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V700_40E-120E_90S-90N_1981.nc, 1981, V, 700 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V600_40E-120E_90S-90N_1981.nc, 1981, V, 600 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V500_40E-120E_90S-90N_1981.nc, 1981, V, 500 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V400_40E-120E_90S-90N_1981.nc, 1981, V, 400 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V300_40E-120E_90S-90N_1981.nc, 1981, V, 300 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V250_40E-120E_90S-90N_1981.nc, 1981, V, 250 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V200_40E-120E_90S-90N_1981.nc, 1981, V, 200 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V150_40E-120E_90S-90N_1981.nc, 1981, V, 150 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V100_40E-120E_90S-90N_1981.nc, 1981, V, 100 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V70_40E-120E_90S-90N_1981.nc, 1981, V, 70 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V50_40E-120E_90S-90N_1981.nc, 1981, V, 50 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V30_40E-120E_90S-90N_1981.nc, 1981, V, 30 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_V20_40E-120E_90S-90N_1981.nc, 1981, V, 20 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H1000_40E-120E_90S-90N_1981.nc, 1981, H, 1000 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H925_40E-120E_90S-90N_1981.nc, 1981, H, 925 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H850_40E-120E_90S-90N_1981.nc, 1981, H, 850 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H775_40E-120E_90S-90N_1981.nc, 1981, H, 775 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H700_40E-120E_90S-90N_1981.nc, 1981, H, 700 OK
/home/jwalker/datastore/merra2/daily/1981/merra2_H600_40E-120E_90S-90N_1981.nc, 1981, H, 600 OK
